id,product_name,category,review_text,language,sentiment,confidence,rating,reviewer_id,location,date,verified_purchase,helpfulness_votes,aspect_ratings
review_015,"プレミアムコーヒー豆",Food & Beverage,"期待していたほどではありませんでした。価格に見合う品質とは思えません。",ja,negative,0.81,2,reviewer_97531,"Osaka, Japan",2025-09-01,false,2,"expectations:negative,value_for_money:negative"
review_016,"高级咖啡豆",Food & Beverage,"香气浓郁，口感醇厚。虽然价格偏高，但物有所值。会继续购买。",zh,positive,0.87,4,reviewer_86420,"Shanghai, China",2025-08-31,true,16,"aroma:positive,taste:positive,value_for_money:positive"
review_017,"Smart Fitness Watch",Electronics,"Terrible battery life and inaccurate heart rate monitoring. Waste of money. Returned immediately.",en,negative,0.95,1,reviewer_75319,"Los Angeles, USA",2025-08-30,false,18,"battery_life:negative,heart_rate_accuracy:negative,value_for_money:negative"
review_018,"Relógio Fitness Inteligente",Electronics,"Funcionalidades incríveis e design elegante. A bateria dura bem e o aplicativo é fácil de usar.",pt,positive,0.89,5,reviewer_64208,"Brasília, Brazil",2025-08-29,true,25,"features:positive,design:positive,battery_life:positive,app_usability:positive"
review_019,"Reloj Fitness Inteligente",Electronics,"El producto llegó con defectos de fabricación. La pantalla tiene píxeles muertos y no responde bien al tacto.",es,negative,0.92,1,reviewer_53197,"Valencia, Spain",2025-08-28,true,11,"manufacturing_quality:negative,display:negative,touch_response:negative"
review_020,"Montre Fitness Intelligente",Electronics,"Satisfaisant dans l'ensemble. Quelques fonctionnalités manquent mais pour le prix c'est acceptable.",fr,neutral,0.74,3,reviewer_42086,"Nice, France",2025-08-27,true,7,"overall_satisfaction:neutral,features:neutral,value_for_money:positive"
review_021,"Smart Fitness Uhr",Electronics,"Hervorragende Verarbeitung und präzise Sensoren. Die Akkulaufzeit übertrifft die Angaben des Herstellers.",de,positive,0.88,5,reviewer_31975,"Hamburg, Germany",2025-08-26,true,33,"build_quality:positive,sensors:positive,battery_life:positive"
review_022,"Orologio Fitness Smart",Electronics,"Interfaccia confusa e complicata da usare. Non intuitivo per chi non è esperto di tecnologia.",it,negative,0.83,2,reviewer_20864,"Naples, Italy",2025-08-25,false,5,"user_interface:negative,usability:negative,user_experience:negative"
review_023,"スマートフィットネスウォッチ",Electronics,"機能は豊富ですが、設定が複雑で使いこなすのに時間がかかりました。",ja,neutral,0.77,3,reviewer_19753,"Kyoto, Japan",2025-08-24,true,8,"features:positive,setup:negative,learning_curve:negative"
review_024,"智能健身手表",Electronics,"外观时尚，功能实用。运动追踪很准确，值得购买的好产品。",zh,positive,0.86,4,reviewer_08642,"Guangzhou, China",2025-08-23,true,21,"design:positive,functionality:positive,fitness_tracking:positive"
review_025,"Organic Face Cream",Beauty & Personal Care,"My skin feels amazing after using this cream! Visible improvement in texture and hydration levels.",en,positive,0.91,5,reviewer_97531,"Miami, USA",2025-08-22,true,37,"skin_texture:positive,hydration:positive,effectiveness:positive"
review_026,"Creme Facial Orgânico",Beauty & Personal Care,"Causou irritação na minha pele sensível. Tive que parar de usar após alguns dias.",pt,negative,0.87,1,reviewer_86420,"Porto Alegre, Brazil",2025-08-21,true,13,"skin_reaction:negative,sensitivity:negative,irritation:negative"
review_027,"Crema Facial Orgánica",Beauty & Personal Care,"Textura agradable y se absorbe rápido. Los resultados son sutiles pero visibles después de varias semanas.",es,neutral,0.73,3,reviewer_75319,"Sevilla, Spain",2025-08-20,false,9,"texture:positive,absorption:positive,results:neutral"
review_028,"Crème Visage Bio",Beauty & Personal Care,"Produit miracle ! Ma peau n'a jamais été aussi douce et éclatante. Je recommande absolument.",fr,positive,0.94,5,reviewer_64208,"Marseille, France",2025-08-19,true,45,"skin_softness:positive,radiance:positive,overall_satisfaction:positive"
review_029,"Bio Gesichtscreme",Beauty & Personal Care,"Sehr fettig und zieht nicht richtig ein. Hinterlässt einen unangenehmen Film auf der Haut.",de,negative,0.85,2,reviewer_53197,"Frankfurt, Germany",2025-08-18,true,7,"greasiness:negative,absorption:negative,skin_feel:negative"
review_030,"Crema Viso Biologica",Beauty & Personal Care,"Buona crema ma il prezzo è eccessivo per la quantità offerta. Ci sono alternative migliori.",it,neutral,0.69,3,reviewer_42086,"Florence, Italy",2025-08-17,false,4,"quality:positive,price:negative,value_for_money:negative"
